Industry_Type,Year,Energy_Consumption_MWh,Fuel_Consumption_Tons,Production_Output_Tons,Renewable_Energy_Percentage,Operating_Hours,Emission_Control_Index,Carbon_Emissions_tCO2
Paper,2021,3272.11,4419.06,66550.22,44.09,4740,1.92,9200.38
Textile,2010,24265.34,6363.4,51754.3,3.84,1961,1.18,24623.68
Chemical,2015,27000.86,1299.17,72847.38,23.92,6690,1.86,13828.56
Paper,2020,8871.68,2799.04,33309.77,5.17,2627,3.87,9478.94
Power,2002,16461.27,5125.72,63012.39,21.66,2967,1.28,17664.16
Chemical,2021,22290.98,3224.18,72178.32,34.23,4331,6.67,14954.54
Chemical,2005,41743.88,9911.74,15125.4,52.73,2074,3.85,38019.37
Paper,2013,46505.67,4371.17,14866.73,16.98,4204,7.63,28949.33
Cement,2023,31606.93,8711.01,71897.68,37.4,6798,1.41,31722.14
Power,2017,20049.79,8975.45,43746.47,9.88,7952,2.95,28019.2
Paper,2016,13074.54,8376.47,89030.95,21.24,2028,4.67,22901.78
Power,2003,49115.69,564.29,31881.95,56.83,1647,4.44,20537.5
Power,2022,49159.49,9482.69,5200.64,44.86,5833,2.18,40927.69
Chemical,2014,46286.36,1374.55,65337.73,32.75,7645,9.95,21348.87
Textile,2010,39390.62,440.6,68739.68,15.1,6303,3.56,17663.9
Power,2002,16626.09,4202.26,55805.57,22.78,7552,7.49,14916.71
Automobile,2002,40941.52,2026.88,68649.93,9.4,4162,2.98,22149.22
Chemical,2015,20735.25,1923.55,52851.68,21.21,6555,8.9,11646.27
Cement,2004,16675.27,2949.41,69570.65,9.04,5915,4.49,13092.17
Textile,2020,37370.84,2559.22,5349.8,47.72,1902,9.11,19445.16
Automobile,2009,4442.87,6879.47,37471.34,4.85,7332,4.08,16450.53
Automobile,2018,2903.85,1949.1,21870.87,11.36,5067,1.08,5010.75
Cement,2024,22673.71,5476.87,10833.29,41.47,2503,5.65,19915.48
Textile,2003,22559.12,9865.62,24175.17,54.15,6076,5.72,29003.57
Chemical,2018,44834.39,4380.59,19939.75,57.88,3862,2.08,27247.97
Steel,2010,6744.58,6454.54,97340.01,50.16,5478,3.11,14855.45
Textile,2001,6602.55,9696.78,29368.05,12.69,3897,8.05,22830.46
Cement,2009,7798.9,1462.63,23864.94,17.14,2345,1.33,5882.09
Automobile,2010,1971.94,4244.21,83652.58,52.25,6562,5.41,7485.44
Chemical,2024,4050.72,8516.9,42492.51,53.36,1489,5.77,17733.2
Textile,2019,33163.56,9329.83,42725.08,38.44,6252,7.2,33047.63
Steel,2015,21863.42,6052.24,44915.46,18.82,1425,1.34,22239.87
Steel,2018,38298.35,1519.86,42236.92,13.44,7393,6.27,19287.95
Power,2022,49633.59,9024.57,33329.98,51.14,7078,1.03,40019.97
Power,2023,33122.22,1827.02,29347.6,12.32,6681,3.39,18024.84
Paper,2010,2997.55,3593.49,88314.01,39.71,6541,5.5,7006.18
Cement,2013,5675.86,3817.53,17009.03,58.08,6595,9.2,7525.5
Textile,2001,44109.7,4528.19,18925.17,42.32,3731,2.14,27861.78
Textile,2022,26611.05,7922.64,57600.19,15.46,4991,2.52,28483.98
Paper,2004,41329.44,8041.23,35022.2,16.95,2407,7.02,34768.55
Automobile,2004,42902.31,7224.59,42731.41,5.57,7462,4.37,34452.94
Automobile,2018,46419.89,319.07,80848.11,41.17,6115,6.61,19150.9
Paper,2020,47516.55,5691.97,90459.47,31.11,7368,9.98,31462.78
Automobile,2011,27963.88,7500.18,79264.81,12.39,1422,9.88,27402.94
Power,2017,17380.5,4501.79,24257.9,13.66,3955,4.18,16677.16
Textile,2003,48112.31,9454.87,98017.16,0.54,2214,5.54,41764.85
Paper,2021,27596.62,8255.72,36954.47,58.71,4942,9.14,27135.86
Textile,2016,3680.51,6417.74,17737.64,49.68,2800,1.83,13568.46
Steel,2009,32317.44,718.01,50450.17,23.65,6875,5.07,14568.07
Power,2019,29590.4,6558.23,72803.29,56.77,7222,4.4,24944.99
Chemical,2005,44841.75,9124.64,9243.82,40.63,5950,3.65,38189.8
Power,2024,32832.77,3856.51,63794.4,45.09,5460,9.95,20261.47
Paper,2013,17778.1,8397.51,85949.71,40.8,3069,7.6,23930.67
Chemical,2010,48328.17,3200.3,26916.37,45.41,5643,4.5,26431.94
Steel,2010,40180.16,5744.02,69619.2,10.26,3377,8.46,29292.32
Paper,2017,31705.67,6519.4,40590.95,33.74,3103,5.41,26611.43
Cement,2022,14999.8,6812.15,41999.38,50.96,2271,8.86,18635.04
Textile,2021,18990.24,8837.24,28800.59,1.17,6020,3.4,27532.74
Steel,2017,33663.51,2422.76,62814.99,7.41,5356,3.01,19821.05
